"","Control1","Control2","Control3","Control4","Control5","Control6","Control7","Control8","Control9","Control10","Control11","Control12","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12"
"A1",9.92966916314032,10.8041191937524,10.9014231769646,10.4273931328769,11.9229571527548,10.5091740434321,9.93624245934826,10.6110159981527,11.3364947427299,10.6189154620591,11.020665938325,10.6154946955119,10.9164272571111,10.4486285686499,10.9096081448158,10.053377813709,10.4029316504529,11.4817687769239,10.7470114371132,10.0431706040367,11.0664599373317,10.4047177470294,10.0011621738681,10.4174973762621
"A2",7.12118409240225,6.44725623098402,5.97556292011228,6.2455825757488,7.184899556519,6.48901295902464,6.26043429461124,6.44861739838974,6.3512851544718,6.15408696353239,6.09332105457703,6.12787718398166,6.49967926163828,6.89560642247736,5.44201794021063,6.41294303303127,6.43165481308456,6.49866905447317,7.15473994239961,6.22351210866835,6.95366500795463,6.3908940840973,6.06829331966763,6.91744479937229
"A3",9.60705916803069,8.33837032138118,8.33953216363975,8.7585329469604,9.72463366649064,9.16603538391153,8.81791119207848,9.05502272283114,8.90627640251574,9.22512424334044,8.29082642018077,8.63201510061803,9.14416785540249,9.62686291146863,8.5231181264676,8.61307820865465,9.29281324703073,8.30946331597987,9.23429864641784,8.14252901728693,8.37541802567212,8.81772929976704,8.75238359441188,9.03510061676713
"A4",10.4521766500109,10.2330990559591,10.6761714755426,10.5544316734296,10.5065835073691,10.7344868360411,11.198307030794,9.98936695052619,10.5271478162834,10.6567715240192,10.0447369475173,10.7090101119906,10.2826832810712,10.2948078600186,11.1554788699675,10.6172943866615,9.50200547299933,10.8655931649815,10.499105291289,11.274170243599,9.34040465448868,11.2943758882784,10.2535238923032,9.69405435899043
"A5",4.64838965205204,4.7598948265474,5.28936798651658,4.57128820425639,4.39806215304554,4.48664519739488,4.41766713308855,4.76040955148314,5.21835571959813,4.25244990187451,4.62778065307853,4.70504493985994,4.56129510949363,5.2748632848795,4.42408157539488,4.25854187941274,4.66920549279565,5.40073136457512,5.34180167296039,5.35081065224648,4.87117422881665,5.10561727122817,4.86365726074388,4.55782124199461
"A6",6.69939550279547,6.999655334067,7.64378199097504,8.35300616426377,8.32281456027743,7.06387822452554,8.45290163614481,8.00834108350801,7.13249273106274,7.12766717109065,7.44211821886986,7.3805970676922,8.16244919370039,7.60692383832404,8.46175240448249,7.04886685778176,6.94134660415386,7.82118482927748,7.77931439822368,7.80237818147223,7.57940592999778,7.35652236350192,8.1837400558534,7.6906639767601
"A7",10.2343192437835,9.97707271264747,9.95683016310673,9.45713294401811,10.1042636012447,10.2820623481513,10.3648509331499,10.1844241193774,9.66269798748205,10.1148781454062,9.40708233344739,9.31652891262659,10.3735556688305,9.60825674783794,9.93305272817974,9.96278407065139,9.26465070524046,10.7393355106316,8.91456888731375,9.79763617786797,10.8570408652414,9.64856675463619,9.87103918880352,10.0423459369835
"A8",7.0720085008623,7.09832014740503,7.53351147561874,6.58955709262713,6.73341462859145,6.95855203620364,6.6069766003102,6.84990769051433,7.40383316149026,6.03539627226749,6.64096645801607,6.95595900424094,6.91621054817811,6.8144965572994,7.67296519450563,6.98863679316223,7.73382182693238,6.92794285876138,7.16466706059634,6.63648222189628,6.90323565437016,6.95735565732433,6.69863223835634,7.61621959803711
"A9",11.1659817278225,11.7696160977024,12.3939516895197,12.4547579343337,11.9545000040784,10.9449309346565,11.6069508946992,12.5786580993952,12.6604539669527,11.9490352379759,11.8127814716324,11.7467530736964,10.989017026444,12.5833425585101,12.5220167601155,12.8911598328285,11.5978907722081,11.3296701840259,12.445308642105,12.2162271252318,12.8206904905144,11.6171275853715,12.1395313185191,12.4227028781314
"A10",5.69145690677389,6.0876872781151,5.50291240454838,4.75689142710607,5.66557252165727,5.3135396398378,5.12822497748927,5.39119586982065,5.30304671210439,5.67307691272004,5.63264549553415,5.20393311132378,4.87695302538927,4.68237202674319,4.59056808307728,4.71964461552708,5.28844819277165,4.82591671757946,5.28370262443758,5.73516386170753,5.04654823992837,5.80601853689415,6.47846533274696,5.07363142348917
"A11",9.95639826538516,9.81099774220299,9.28545223337404,9.14323686485587,10.2619763426969,9.93287128308476,9.19870405602947,10.262310441716,9.1200814275585,10.0986166396436,9.96095431164268,9.2893647474971,8.96886618783634,9.69451575667034,9.18753879531441,9.64539530859181,9.3021262845698,9.778839926922,9.32302340769758,9.69093419613324,9.54004710436878,9.46185792548378,9.6184774019365,8.83464652002555
"A12",10.7781643326606,11.0019268362738,11.0915860428394,10.8015031221337,10.6704173033071,10.97634741566,9.76393881806651,10.072301624587,10.1775540978688,9.79461057597922,10.7855970476606,10.916648561679,12.4863676352656,11.8780927019598,11.7189054821963,12.3582610751178,12.6470640159142,11.3401299235055,11.4729033129701,11.6165254424587,11.5031256252777,11.291581356211,13.1771162448706,10.9980167661489
"A13",7.19081241679581,7.1232389931841,7.40916795744707,6.23227033673846,7.13172665594859,7.10355865615622,6.50830979690262,6.30298066842324,7.97322708399376,7.18224117701865,7.0875339607583,7.68434874808877,6.95340768809277,6.73441469940408,7.23685293612729,6.84264388853152,6.7736242546138,7.54417351347753,7.54770247872781,6.61035561734104,7.61509034050401,7.01602910134698,7.39284162303318,6.61508722017986
"A14",8.54039342413714,9.91506309618472,9.92103964673473,8.77377503420979,8.61716660783741,9.49660601978091,9.73628763521461,9.78367825283925,8.86344306509749,9.19692019055286,8.30202382719389,9.63444733483291,10.2282733851636,9.22794446503214,10.1849741907402,9.32539549880798,8.98537763135,9.73311287564843,8.69583323577175,9.50661568388538,9.31846926092457,9.16213209477631,8.99279921905907,9.60734283579188
"A15",8.52201613040485,7.4775737633589,7.63197140632978,7.71753081927621,7.21417668424629,7.62715294499013,6.80037152223748,6.48407733381065,8.43782563389532,6.52130129867965,7.40072964293624,7.51670949994348,6.95964072741044,7.48304089663879,6.86097292176994,7.83052699440397,7.04680831620919,6.95174372481441,7.38539655335463,6.587502878004,6.96043806795233,7.99113170605502,7.25776727853917,6.36311348450493
"A16",7.24286297471414,7.17976536265545,7.17654121057996,8.55963537173048,7.30792306688274,7.61771362300109,7.32081193532748,7.76611405985983,8.23398227417631,7.48138931355478,8.01054274701726,7.85940293590775,7.66138750947464,7.5262426580807,8.06080705369836,6.90646022835258,7.45135241478921,7.56944919591635,7.68459917562254,7.85361692842214,7.41709657692619,7.5911517222554,6.83712098891588,7.52607267862818
"A17",8.99786524477897,7.88922925419292,8.19690519051479,8.46875523184156,6.83109245730517,7.94865548312473,8.20806399850216,7.70110586590285,8.50152855673152,8.13684952206779,7.23957237645229,7.25546944082366,7.83562676307506,8.67203218814624,8.65323512644543,9.07169194314925,8.12536092468649,7.95070798367272,8.11650714155417,8.48257727883539,8.028131287234,8.60990033312889,7.53289475129406,8.85596756655354
"A18",7.4261012566036,6.76642293927674,7.43703161838251,6.87118189128677,6.00351094725084,6.57995931521059,6.56199296525249,5.93982108628202,5.46662596638635,6.94288318839446,6.32232976349066,7.20733578857068,6.45407377214866,6.76933694832607,5.90394845482131,5.63060875284664,6.30449111900324,6.78014615954712,7.0597120042618,6.99337172113041,7.02794146852201,6.16562017130378,6.61929309039644,7.22592028552711
"A19",5.8366019414535,6.05382852219947,6.42370427896992,5.86379546716811,5.78901851603888,5.32816878053808,5.4004549723048,6.1511675427476,5.72176903359634,5.86233034569881,6.39566891396619,5.7171629970912,5.46480421874893,6.00895796641159,5.87077302022806,6.41288509841571,5.55033088262071,6.33256608288699,5.96635091366429,5.83474480684836,5.80032420018222,6.25369872737676,5.92874862198565,5.77115998923125
