"","Control1","Control2","Control3","Control4","Control5","Control6","Control7","Control8","Control9","Control10","Control11","Control12","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12"
"A1",10.4329350071688,10.0943064847416,10.1020378553095,10.0249044549946,10.4437971493416,10.8331235887359,9.52313705826104,11.092239041438,10.4389622696471,10.893756811468,10.4006719797186,10.7525639963098,10.4401249477902,10.7535824769119,10.528716744279,10.5046427549408,11.2688096812051,11.1202289435876,10.2215076904421,10.3394861630713,10.8357434537961,11.3089358996822,10.6680041400444,10.5890607594236
"A2",6.4440028097773,6.06397843074135,6.31777085901287,6.14937273851688,6.72870342559817,6.24844913419211,5.44914562190637,6.1866429478293,6.17757120498138,7.01452742408943,6.45823925445367,6.50836151848454,6.72776319240848,5.95006970918306,5.95009672717843,6.60550348823098,6.67114421981878,6.48020426343534,6.59010186898229,6.80577426044965,6.56423110856965,5.68561112259358,5.85231467823441,6.77848223089017
"A3",8.76973276418402,8.51184816894571,7.80946484147992,9.98901482758288,9.23286917478749,8.99089232692754,8.06513611678371,8.95193718182367,8.67320909625555,8.96274768098519,9.15602794495381,8.81371386640211,8.88767061852723,9.11145631609603,8.59313308309376,8.93270219022377,8.69012910818515,8.76470368640709,9.19104483306241,8.43242133665101,9.01503170835427,8.84393323928881,9.32597572994596,9.26269626548121
"A4",10.5471835425215,10.7197526212319,10.4199927933291,10.2903629557405,9.53646174671057,10.2487196583641,9.24008583430974,10.938792183556,10.6497040366007,10.4332153738357,10.0913371181146,10.3623910228692,10.1320250569047,10.9484145868892,10.0003869708699,10.5981750552099,10.3273879316042,10.1920989440771,10.1485114418192,10.6688596042609,10.5503792655844,10.7630205730158,10.4246329235881,10.2932112820011
"A5",4.52258035267262,4.22583558594231,5.06250950909971,4.33016487329599,4.70970394085383,4.92420252664366,4.33130246425024,4.61854997603738,4.255475778381,5.58498393080595,4.54896478524216,5.02919536025213,5.07816655119544,4.75054481118329,5.39443693155069,4.40070554095535,4.1291277599855,4.60413698454596,5.23011614236359,5.27025561265907,5.43665639641027,4.55317411850357,5.30994284409351,5.17416692704405
"A6",8.16883477752857,7.37443751876295,6.74729634847625,7.70586269463544,8.3786942278071,7.93936420676465,8.11277107585983,7.84951607671897,8.17223596302383,7.65369541734195,7.87290684180606,7.76836814245501,8.54364591303386,8.244411316661,8.10916786112764,7.70052497207822,8.43849434448593,7.79875240304026,7.10113006801611,7.91701380453744,7.39302202051058,7.78742017730325,8.56117220113373,7.27545085017453
"A7",10.0204517300224,10.0738644523754,9.39368442863729,9.60637169457375,9.89608034709139,10.3594306581131,10.0437207913969,10.5069844382112,9.27132956285632,9.75228655709623,9.12631046458488,9.70335242875342,11.4513427447354,12.4061730116616,11.8909147624189,10.1954403518487,11.0055296822249,11.0669328234727,11.0787430139375,10.8791181476059,10.2948019401505,11.669318914031,11.7128302646899,10.7326702682536
"A8",6.3075028979107,7.17794578453537,6.85930464059505,7.10071160276922,6.88364817002859,6.79630505003754,6.74604507779643,6.63168395246809,7.52738051149409,7.01266353312419,6.9876058632761,6.80432260524924,6.46828763156158,6.49395728315465,7.00445338314045,7.44809444693813,7.1297808406156,7.02096180481671,7.04177600025738,7.0434718335628,7.16537502833251,6.61509641016638,5.62388113727651,6.74188199891498
"A9",12.2735766508547,11.9015553088014,11.9085002890842,12.6760991346545,11.5860879941497,11.9205913968585,12.2021017870014,12.1206377781319,12.769632572381,11.8574986755046,11.8432965815565,12.0794900065236,11.9083426543841,11.69806604285,12.4783550657577,12.3997933809753,12.2805021302367,12.1677796827358,11.5816827829049,12.4222238137136,11.784446057353,12.3567834415053,11.552073479383,12.648139091147
"A10",5.57127683317338,5.77047368535682,4.54563173072031,4.6056680433408,4.52870722183147,5.30813406522222,5.6801936497055,5.45905907868152,4.7269402928087,6.26132920689196,4.84227767245255,4.71461377988936,2.70642209143391,2.43100779983516,3.29709765002946,1.69606662996449,2.55408660127416,3.29075879577138,1.47487002426254,3.67476630850058,3.41211262825512,3.06131137177528,3.05032250978972,2.76960082025605
"A11",9.71347422332389,9.28811827796508,9.20629650972151,9.78429076237079,9.81546815110756,8.76888288168628,10.1415728304817,9.69067102074912,10.4152706939298,9.65987035287478,9.75815782847012,9.44786186967625,10.0597516429691,9.67058156268458,9.14279192514029,9.53759517389417,9.32254114598853,9.58664572290294,10.015607067476,10.1414556781556,9.39405698830781,10.2394056517327,9.8076493780506,10.1947794378693
"A12",11.1510556203841,10.5380499306705,10.6039372413577,9.88311089948342,10.0049457253598,10.5755158653807,10.3453147328278,10.0935470688255,11.0814231211979,10.9129575344925,11.2215111278727,10.371461073708,10.4012957528071,10.5742262409064,11.53011953438,11.0424075712519,10.8047288280236,10.3627927003599,10.4898845280126,10.618378207563,10.7269078380999,10.5436704196308,10.5927146966374,9.93985900289455
"A13",7.79705328208291,7.06627205062345,8.05871419243998,7.37161227966035,7.5485384778411,6.8849728227569,7.66103261499525,6.80174112733742,6.60460141842049,7.52255559677513,7.56722409477081,7.33555471670653,7.73274416071243,7.64128702783333,6.66877958773473,7.11835999465559,7.07137548374304,7.63536809354593,7.15351054136082,7.01069470722832,7.31874393431099,6.57474076834105,6.90773545565045,7.57611746384217
"A14",9.49495448901921,9.47711293348396,9.21368889571113,9.04791735104737,9.43748270968397,8.89629587013045,8.72234539041594,10.023395158823,9.48655876556063,8.93338769122537,9.23804760074241,8.47180578676052,8.54275763126777,9.4087153396395,9.52493294847365,9.28397062653919,8.15570230896461,9.035462437631,9.12523310657745,9.42419670880027,8.28103379087504,9.26820065416318,9.33036613352816,9.53559504226079
"A15",7.78079493796235,6.8818499871149,6.44115045602438,6.83183947703643,7.62862957825074,6.89280841656976,7.29765003333021,7.38162238977802,6.7404979120108,7.83417346402494,7.02212516783763,7.72225947232532,7.736424380544,7.33497030890708,7.49229984465926,7.80606942864307,6.9670780506516,7.92761377632387,7.01649050022149,7.45824086756464,7.82932403531172,7.07947133708935,7.90361456739804,6.90677827596456
