"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"CCNO",5.77565069302228,5.05155528330909,3.03300851283299,2.44930928698466,3.11371960648296,2.23828990299018,1.79095653638136,1.92423135945089,3.04237902336914,3.97002888216249,3.06232348845859,3.46185846716812,3.99260778672067,2.86897104538631,3.01357944598825,2.90118254306377,4.98216500280764,2.34905388168076,1.56605517507941,2.41963306238266,3.19929425481661,3.15087157856212,2.61212271740845,2.01170773789607,4.48062664143705,3.55537714475863,4.09177062535416,3.61409599540969,3.58171683176789,3.20901761397973,3.65385011811021,3.01578270975817,4.31410609751897,4.31176171136998,3.82305535064291,4.79518387743466,3.3625014377391,2.99304393249107,2.84484257789391,2.69614001679354,3.72568037367878,3.85477803231583,4.30991334562622,3.31148532750975,3.79178214020673,5.22914959363554,5.32652271874568,5.17403755017751,5.1570861031253,5.02518439167913,3.61070047540674,5.99124366394847,4.23772667416607,4.37404430262937,5.57118980757621,4.95818729425769,3.08509517514507,4.44333657581214,4.67937927557403,4.10478749249936,4.36562034490531,4.59961673864499,5.93039049042237,5.70756813880326
"MYC",13.0583374357703,14.5734084887274,11.7399520779244,13.0524953051241,13.3087445836853,10.558171682951,11.839205788807,12.7799446953043,13.2163965563627,10.9719397541286,12.9679627327668,11.4582521585888,11.9997065567538,11.0512281866079,13.5534241748579,14.8700199705493,12.5531371709478,13.3051184896874,12.3611455138916,14.9430497854664,12.7585747295115,11.699059285689,13.0939023966165,13.1922379239919,12.4451151649723,12.4433869794994,12.3537484193757,10.7199592026002,15.6272831293064,13.9023330703606,11.047318219801,12.5958621816889,13.9853605837011,12.1122019668006,11.8543287020967,13.3818216650475,12.3094703571828,13.1124382180689,12.0891410918525,13.0679321524224,10.7300359031649,13.981997432363,13.8083085310129,13.9427804360136,13.0029733769376,12.2258078971733,13.0981364890822,13.9716515179764,12.2130051287904,12.3840954063048,10.8556959540128,14.2096195569206,13.2371832839077,13.8961790179052,13.2555701058429,12.0748494232174,12.4493548898068,13.077772967828,12.234659595181,12.7629026086403,11.258346324293,12.4994851688512,11.4847017034568,11.6204997140633
"CD79A",10.7050648670918,15.5401894436575,5.85557170734725,7.42697365133245,10.1709679818921,8.69195157252031,9.14590137744366,7.031139030196,7.32875995763445,8.35666478864883,8.52360020923191,9.79800697168794,6.98801528439323,10.5120482628137,8.87154320690206,12.6039578692555,10.188598147781,10.5270595070062,8.41622281486977,8.19090558527854,8.00936005158621,9.85446558752957,9.52419152959732,7.58377938645747,8.27397976984767,9.09211721213918,8.13819485939558,7.90570418611236,8.03575131148895,8.27343501325269,9.38337848387073,8.98632825443642,8.25725506187845,7.87935246331238,7.99301705300347,10.7408669094589,8.31456460942526,9.3692936087041,9.64123664817421,8.82113135727357,10.458218776793,7.13452687660481,8.69743127762013,10.78077629975,7.60156112372557,8.95196299445722,9.12744329786745,7.89359015818864,7.82696099002955,10.2817778267614,9.00611932917469,10.6685202820785,7.00621966316141,8.06814669669718,7.27888624944079,7.46528092663521,7.36191581277811,8.07513152452626,7.11927070883316,8.59050959041451,10.7057045841857,8.0240639693981,6.73835874419304,9.05753620315677
"FSTL3",4.870183634989,4.3037054548309,7.98880336429997,7.25024597263107,3.73110426065039,5.17481649975294,3.78089256014695,4.39816402742458,4.52969582039071,7.65427341612388,4.93443028559446,7.4728421682185,9.14717295990228,9.19306835625649,4.08341541320467,3.86369455820548,10.2947160546357,4.68951984869823,5.18236109665697,4.10206147845933,3.37666035961322,3.56964376027825,5.65801551285171,7.91573530894724,8.43141638249622,5.91609158506182,7.59255583990674,4.66000770625228,4.86817822926488,7.1910049517931,7.18714979538935,7.99482610905426,5.74513705157403,6.79297146885592,6.89118907407823,7.19527558241284,7.3353011521999,7.89692011818125,3.93932988158888,4.97911586925668,4.13796502875409,4.09717636642557,2.97471453421955,6.78835869411243,4.84035163870498,9.42231094803774,4.73435452032145,8.54413899171127,4.41266538416539,8.0145916397478,4.52036764954667,7.09801440711789,8.2684192062499,5.44288760508626,7.42434465210695,9.42239371932491,7.38945497607421,5.27026845882866,3.76031761499504,5.06911965346437,9.88478509409242,5.19332253211819,4.56388761403413,5.40762796970167
"VCAN",11.3871569015827,9.68334313810756,16.1537472730176,11.7223115624766,10.2832969582852,14.6448078242028,11.5467552817831,8.94646204612329,9.82095112320886,17.4005580941482,11.9926210291735,14.386365358127,12.7040142864444,13.0903001346642,4.09535599019948,9.51380958351361,8.77765540831603,12.2029376537022,11.2363373357365,10.4241912961944,6.94521250902607,10.5376223198443,7.36172789484845,13.7520643285694,15.8680262717027,14.7779039746083,13.8353239627321,14.947664642024,12.3990542555175,13.0650302904297,9.00034682927293,14.3613707600643,7.46654868949609,10.1574733741246,14.8195800374388,12.3389646362309,15.3104330106382,8.34281079906199,10.0357921511358,5.34328121512111,14.9054505722412,9.54127314980664,5.28848757936072,10.1034247111609,11.8105150811492,10.8335884524931,9.38964570861728,13.4578324583615,12.3006610010258,14.6254824221153,14.9922286335166,7.15626299650854,10.6526204578742,9.86158082592,15.9869729064377,16.3630643807082,14.189587604187,9.56929581557595,7.75456462098758,12.5355860053313,14.5409480494698,11.536186588455,10.267299240125,10.5619727864199
"CX3CL1",5.73484301752044,5.0152193981161,3.5641173957576,3.8493051674102,3.13073064200472,2.55272035005843,1.54042271585367,2.66932496779995,3.10714006199279,4.42395247813406,3.11084940361316,3.53999509718336,4.15483466923722,2.74850461983918,3.10763331794069,2.78986780200704,4.70980966295956,2.85019872832056,2.52760596107027,2.48211911237017,3.24509122893064,3.00715829652415,2.54013686205942,2.04457810212555,3.85787511598807,3.5477941186783,4.19400950451252,3.68014409459701,3.80661123563649,3.7085063475909,2.81994031453859,5.15568732221151,3.84313019174635,3.68858493823703,3.86129193653949,4.01549178400371,3.33155462276693,3.47622893991778,4.02867725697543,4.57857136130255,3.73301228877774,3.67781210676957,2.9055871857408,5.64169781538533,4.8636887912225,4.3131384619681,7.13676711209608,6.43253615294868,3.74417224268213,5.71942959207097,3.86297238036434,4.45923659725289,4.9627016691354,5.5242895235236,7.05347257866295,7.78895865067391,5.82008653629856,4.23834231487867,3.75223383903934,4.50664843291537,6.50113210232234,3.38340832648957,4.88714468508161,5.86384539052108
"ERBB2",7.92630452208284,6.95145368740403,3.17425238799992,3.37317562443739,4.43240086897491,4.21619897247217,2.70588325945004,4.66796644444917,3.0232858985459,3.90056752584564,3.83611688157769,3.52340529855643,3.88302160695333,2.8093294382308,3.27262521709221,9.90974400997993,4.87356122169783,3.80969455033438,2.03928405870833,2.9936264557187,3.30895977743223,3.22689764520395,2.58936918141118,3.2002746178015,3.90100564812585,5.50692769358259,3.84615610270768,3.687125961054,4.07724506141634,4.25940306699309,2.60030854747094,3.84135025564689,3.44335159983941,5.13913626175829,4.06998329115287,5.70794263590128,3.51087601979664,4.17822315558371,5.34168118906863,2.25374441834795,4.10094351773614,5.17078635772906,6.57685237200032,7.07832379788946,4.75757369897658,4.24690078005016,6.02961753425379,5.55732029052441,5.15216176666301,5.51547385254886,3.66032846687521,7.16267665085785,6.39832935300669,6.29135276705405,6.06643545827113,5.96855075452749,6.30087661922203,7.39728968138186,6.80089089165999,5.3027990745067,5.99484430703794,6.13568047990041,4.57406519426885,7.90935641702681
"FAM124B",9.45606173543616,5.39121145486609,8.910121783157,7.89950478156671,11.2176908065917,6.30315673060438,8.52516614880009,9.6901964853446,11.3316845236867,8.68481976959449,9.9794134914037,9.43609630214725,9.86485482484219,10.7770733438244,11.0388582151382,3.30873880760746,10.5045576619774,11.344817049938,12.5347017193335,9.35618310799194,10.1416442516327,10.3163880467859,11.9480139900137,11.3141230069405,6.53702281484996,9.46472711918956,8.6826282402341,9.58089574129931,8.74616552787186,11.1715168735735,9.11280297801293,10.1083061897168,11.9169236208967,11.7214595536532,7.69334795469755,9.94346965726188,9.49927961292829,12.1705329876266,11.3818329675286,11.5651305344844,9.39493797844282,12.3268621313061,10.2310632788442,10.8227007491979,9.76952514635948,10.2498271023917,7.10447836622436,9.24768477652243,9.82576730769347,8.55903897991175,7.27112916060611,10.5345918327774,8.15242820253708,4.18746219415031,9.28609728369717,7.82175835036652,8.94117083152306,9.09452317458096,9.66085221415795,8.81753987744743,9.16013395502134,10.137875109795,6.85342499476449,9.30268682720419
"AKT1",12.5697780285728,12.1849670343891,12.3790908938994,13.1449173705177,12.8243908137314,10.6710441465725,12.9257125026769,12.320384589584,12.735390855325,13.5503102885856,12.9977984124932,12.529887342921,12.2701706388907,12.7081659855921,11.8627495346603,12.7149151593831,12.8027952298517,12.9204640277136,13.4745185665037,12.0666219956926,13.1866629805005,13.008325612852,13.293637491624,13.3377712377974,13.5366824903568,12.9945746109904,12.765914691851,12.8379948275007,12.054075229748,12.6362622872849,12.8609045646686,12.4828635120366,12.4347274515803,13.0794816441762,11.6858264031134,12.5732753822856,12.577649992602,13.1093793277144,13.6874208652947,13.7484605256859,13.0005224323846,13.1709938721751,13.1066217457445,13.2709461989625,13.1321807803621,12.9427709006005,13.4685766625533,13.184506389571,13.1710544734694,12.9978064353507,12.1184534691401,12.8702330943756,13.1944286231916,12.4516893779378,13.0506772868351,13.010613252809,12.9869655668424,12.6652452796853,12.8967972148759,13.015121802522,12.4205307686416,13.373924871201,12.2676975107187,12.6402726306146
"KDR",5.16343341434335,4.22377796564165,3.25525550899703,2.53709246828696,4.06701694710197,2.44911225597622,2.7099331265049,5.99894417445947,3.00367406274723,4.07865054810193,3.21781505746507,3.43626301074385,4.09146070574946,3.33414271292763,3.07274141943506,2.25163548498041,4.85715027934514,8.20439684071079,1.79309332492697,2.34738396489583,3.14566232874053,2.58886489817242,2.58711239272876,1.47307505495296,4.56943951150691,3.6366821133628,3.7590632189352,3.75524393494005,3.77190300444927,7.88202118957742,1.95955471018131,7.32654193026136,3.11650558148276,3.08868269177475,4.01466908085167,4.36247014387791,3.33808027454786,2.99628457677113,4.89281335516546,2.14104487534202,1.85866146326827,4.11906575307939,3.70027616379844,5.27638727711667,7.50956163387,6.07943460088127,4.47816349422088,7.63735524676158,4.54088835473129,4.6160737443758,3.63501133729241,4.24842040412544,4.77333162308594,4.98900808081156,4.57150050439389,5.50649489874943,6.4885778339452,6.17863629864831,3.89143939477377,4.3242141923462,6.48322177479754,4.63979665992882,5.19026556437958,4.61753568584095
